OBJECTID,Company,Address,City,State,Zip,Phone,Latitude,Longitude,Recovery,Landfill,C&D,Composting,Demolition,Electronics,HHW,Metals,Tires,Transfer Station,Vehicles,LF-C&D,LF-HW,LF-MSW,Region,DDRT_ID,x,y
115,Tire Depot Usa Inc,1104 Cassat Ave,Jacksonville,FL,32205 ,904-444-9999,30.306645,-81.730926,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,29b74146-7a9a-4790-8d95-9273937b419d,-9098245.4289,3543028.1528
122,Trail Ridge Landfill Inc,5110 US Hwy 301,Jacksonville,FL,32234 ,904-289-9100,30.228084,-82.040769,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,9cea47ed-cd3d-42c1-a4f4-eb26120207fc,-9132737.0036,3532902.4732
147,Day &amp; Night Tire LLC,3703 Ventura Dr W,Lakeland,FL,33811 ,863-648-2336,27.9977915379,-82.0300801967,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8961c14e-5d81-403c-bf3c-da2d69d13e11,-9131547.1223,3248696.0109
156,Citrus Central Landfill,230 W Gulf To Lake Hwy,Lecanto,FL,34461 ,352-726-8500,28.8560460339,-82.438425314,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,627c5122-8edb-4923-818a-41945c52ac06,-9177003.9092,3357337.3332
159,Southeast County SLF,15960 CR 672,Lithia,FL,33547 ,813-671-7674,27.7626627136,-82.2014552716,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,52d55231-826f-4f6b-adc1-1237547ce21f,-9150624.5131,3219084.4527
166,Tarmac America / Pennsuco Cement Plant,11000 NW 121st Way,Miami,FL,33178 ,305-364-2230,25.8769808305,-80.3713869022,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e4d7375a-8193-404c-903d-63d2e080d9b3,-8946902.1688,2983853.0357
170,MMD Enterprises Inc,9975 NW 88th Ave,Miami,FL,33178 ,305-805-9390,25.8634157843,-80.3405681332,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0fb0f538-f4f8-4b3a-b57d-57ec3f140e94,-8943471.4381,2982174.7963
176,Cemex Construction Materials Florida LLC,1200 NW 137 Ave,Miami,FL,33182 ,305-221-7645,25.785819,-80.420949,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,bceedc24-518d-4aed-910b-aa27db9c840c,-8952419.3976,2972578.3803
177,JE Tires Enterprises Inc,1429 NW 165th St,Miami,FL,33169 ,305-623-2700,25.9245282291,-80.2237820183,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,74b97258-4d05-4286-aad5-2078d4f4ff05,-8930470.8636,2989737.0249
186,American Tire Recycling Group LLC,3551 NW 116th St,Miami,FL,33167 ,305-688-8566,25.880091785,-80.2573435999,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,b1752c88-9d0e-4448-8b17-f664d4db850a,-8934206.9228,2984237.9441
189,LTA Distributors LLC,3710-3720 NW 79 St,Miami,FL,33147 ,305-836-1000,25.8454068909,-80.258532957,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,86c48e3a-e321-4978-8ddd-728c437fe0ec,-8934339.3213,2979947.0711
192,Econotires Inc,7140 NW 42nd St,Miami,FL,33166 ,305-599-2356,25.8125011199,-80.3122660896,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,c7371de4-77cf-4900-8a9b-cf0263ce6a9c,-8940320.868,2975877.4564
195,Paul&#x27;s Tires Inc,7601 NW 66th St,Miami,FL,33166 ,305-592-0509,25.8334798949,-80.3206876589,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,04aa116e-9286-405a-af81-d181d4a2c26a,-8941258.3531,2978471.8714
196,Dimor International LLC,7621 NW 37th Ave,Miami,FL,33147 ,786-318-1226,25.8437895124,-80.2579504108,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5afbbfa6-d5f2-4934-9a8e-dce8333f8742,-8934274.4726,2979747.0156
209,Sarasota Central Landfill Complex,4000 Knights Trail Rd,Nokomis,FL,34275 ,941-486-2600,27.192811516,-82.3955175,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,e7a0edf3-98ce-4186-b1bf-e7c28646cc46,-9172227.4258,3147582.3462
212,Friends Recycling Formerly Ocala Recycling,2350 NW 27th Ave,Ocala,FL,34475 ,352-291-1119,29.212308,-82.1708505,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,f1d2b858-2fec-410b-98cf-f63f69c44324,-9147217.6099,3402696.6367
236,Taft Recycling Inc,375 7th St,Orlando,FL,32824 ,407-851-0074,28.4252285594,-81.3816369776,Yes,0,0,0,0,0,0,0,1,1,0,0,0,0,4,5a470f8b-c576-4c73-b437-b6506a956762,-9059362.734,3302692.6086
240,Empire Tire Inc,550 Mission Rd,Orlando,FL,32808 ,407-947-7273,28.550181809,-81.4428167957,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,b9fef681-077f-492d-8d19-b3742691b447,-9066173.2426,3318518.5639
242,Jumbo Tires,750 Central Florida Pkwy,Orlando,FL,32824 ,407-812-6950,28.4076496674,-81.386880344,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,077ed63f-3c30-4040-bb45-99e7661aa44e,-9059946.4229,3300467.6546
266,Polar Business Solutions Inc,911 S Woodrow Wilson St Bay #16,Plant City,FL,33563 ,813-659-2050,28.0057911443,-82.1461915077,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8289c8e4-2f75-46b2-9ba4-069aa45674ca,-9144472.5781,3249704.5949
274,Liberty Tire Recycling LLC,9675 Range Line Rd,Port Saint Lucie,FL,34987 ,772-465-0477,27.2886763725,-80.4813792671,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6db31343-d747-4ed6-98ed-bde388b9bf9b,-8959146.4708,3159585.2074
287,JED Landfill,1501 Omni Way,Saint Cloud,FL,34773 ,407-891-3720,28.0510834542,-81.0862355498,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,c6976701-15ee-406b-93c0-631209d17cd1,-9026478.7865,3255416.4323
301,Consolidated Tire Processing LLC,3100 S Ridgewood Ave Unit # 190,Daytona Beach,FL,32119 ,732-496-6674,29.1534214737,-80.9956484723,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9a09aa3a-81c0-4487-af6d-6be6ab5606f9,-9016394.6803,3395188.3815
302,Pasco County Resource Recovery,14230 Hays Rd,Spring Hill,FL,34610 ,727-856-0119,28.3647574638,-82.566792,Yes,1,0,0,0,0,0,0,1,0,0,1,0,1,4,95ef4750-b14b-4d92-8c5f-9b0e8238af1a,-9191293.6256,3295040.3489
304,American Cement Waste Tire Facility,4750 E County Rd 470,Sumterville,FL,33585 ,352-569-5393,28.7559264987,-82.025172,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0b3901a4-e719-460d-9fb3-e94f1df2d2c4,-9131000.747,3344618.1557
305,Sumter County Citizen Drop-Off Area Facility,835 CR 529,Lake Panasoffkee,FL,33585 ,352-793-4221,28.743957,-82.0916806805,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e9591317-70cc-418e-9013-87ae7f6836b2,-9138404.4616,3343098.3682
331,Advanced Tire Recycling Inc,8369 SW County Rd 313,Trenton,FL,32693 ,352-463-8448,29.614311,-82.8817706282,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1fd81229-310e-4eb9-a20d-bb8e793a6afd,-9226356.9011,3454069.5477
336,Hardee County Regional Landfill,685 Airport Rd,Wauchula,FL,33873 ,863-773-5089,27.569646,-81.776658999,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,519be5d1-e9b8-455e-a2ce-931a491735ff,-9103336.3939,3194824.1862
352,Global Tire Recycling Of Sumter County Inc,1201 Industrial Dr,Wildwood,FL,34785 ,352-330-2213,28.8535325554,-82.0495713801,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,a6f2fa31-4344-4d95-aed9-2acd561d8eee,-9133716.8747,3357017.8726
368,Ashberry C / D Landfill and Tire Recycling Facility,24961 Wages Rd,Opp,AL,36467,334-493-1250,31.3445136472,-86.292365454,Yes,1,0,0,0,0,0,0,1,0,0,1,0,0,4,aa495235-8da7-40b6-8994-d8deec8decd5,-9606022.6968,3677572.8502
416,Coffee County Solid Waste Disposal Authority Tire Processing Facility,415 County Road 279,Elba,AL,36323,334-897-6773,31.3372096395,-86.1903237555,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1fe80e5a-a0a3-47ca-a90b-f2127e80bd51,-9594663.4636,3676620.8662
450,Green Metals Inc-Alabama Non-Metals,1 Cotton Valley Dr,Huntsville,AL,35810,812-385-3814,34.8294782487,-86.640450025,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0cababaa-4918-4a00-a403-4e08d970b5e6,-9644771.3255,4140732.8887
463,Huntsville Waste to Energy Facility,5251 Triana Blvd,Huntsville,AL,35805,256-880-6054,34.6701099687,-86.6103373033,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,ad196bd1-5bf7-4d1d-be99-06b158da7688,-9641419.1906,4119141.1723
472,J Scott Enterprises,198 Pawnee Village Rd,Birmingham,AL,35215,205-841-1930,33.625298325,-86.7450839563,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9e9521f3-b707-40de-a58c-125c673b10c5,-9656419.117,3978599.8781
481,Kross Wholesale Tire Co DBA Gensco Aircraft Tires,530 W 23rd St,Anniston,AL,36201,256-236-5400,33.6742215456,-85.8367718068,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1204be21-1e59-4d90-85de-50e5091a6152,-9555306.2426,3985142.2256
482,Liberty National Tire Recycling,1515 Huffman Rd Ste 203,Birmingham,AL,35215,205-854-0130,33.6257495837,-86.6867745351,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7e8966f2-3545-411d-8bdc-9165de0f862d,-9649928.1401,3978660.2069
483,Little Tire Recycling Inc,10724 Salem Church Rd,Andalusia,AL,36420,334-427-1608,31.2454049573,-86.5358695112,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,b4dcf627-e1da-4b2a-b3da-bcfe4a0cce15,-9633129.4516,3664661.5841
525,Progress Rail Services Corp,1000 Industrial Blvd,Albertville,AL,35950,256-878-5849,34.2320345401,-86.184827559,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0e810fe4-eb39-4b6a-b1c1-21e43e6ac515,-9594051.6462,4060002.1834
532,Ranger Environmental Services,10601 Hwy 43,Creola,AL,36525,251-679-8611,30.9116944366,-88.0358127967,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5c156fdf-5446-40ae-931c-006e98a6d5bd,-9800102.4194,3621287.0257
562,Southern Tires Inc,2908 W Main St,Whistler,AL,36612,251-457-7511,30.7495038577,-88.1035515985,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,025efb5f-c064-4fdd-b1f3-d75934f4392f,-9807643.0695,3600260.7348
872,Gray &amp; White Used Auto Parts,1172 Field Road ,Atlanta,GA,30318,404-343-1201,33.7860468754,-84.4834669386,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,714e5391-e0d8-45c7-b195-7e5a6d68717e,-9404656.9912,4000110.264
954,Liberty Tire Recycling LLC-Atlanta GA,1593 Huber St NW ,Atlanta,GA,30318,404-355-0547,33.7988775015,-84.424369973,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6c3a46de-7d14-4b21-97da-31f246a02af9,-9398078.3453,4001828.9168
955,Liberty Tire Recycling LLC-Calhoun GA,301 Wellco Ln ,Calhoun,GA,30701,706-602-0072,34.4756728287,-84.9418535292,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11b2575d-2f33-4224-ad19-5b9121691b2f,-9455684.372,4092854.3948
991,Metro ﻿Alloys Inc,1024 ﻿Sampler Way,East Point,GA,30344,404-753-6063,33.6957625678,-84.4237121904,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,4,75909f4e-69ef-4b81-ba82-0c03288f2853,-9398005.1206,3988024.0233
1097,Quality Tire Recycling Inc-Jackson GA,465 Mallet St ,Jackson,GA,30233,770-775-3304,33.3006325916,-83.9560080496,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2c0b579e-2d9b-4268-a6b3-4411933446bf,-9345940.5165,3935277.0823
1169,Scrap Partners LLC,500 Addlestone Dr,Metter,GA,30439,912-685-3414,32.3986519521,-82.035204364,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,4,b741e984-d572-481d-9808-10923eb0f5ff,-9132117.5612,3815755.2224
1192,Southern Metals Recycling Inc-Savannah Yard,2820 Tremont Rd ,Savannah,GA,31405,912-232-4363,32.0598194735,-81.1348444988,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,daff7b14-9c88-4cc6-9662-9940c936555d,-9031889.9284,3771166.2375
1304,Bavarian Trucking Landfill,12764 McCoy Fork Rd,Walton,KY,41094,859-485-4416,38.862903,-84.656706,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,5d007d7f-b04c-49c4-bfe0-63ecfb7b9499,-9423942.4303,4702054.7189
1316,Western Bluegrass Terminal,1021 Madison St,Beaver Dam,KY,42320,270-274-0454,37.413583,-86.878771,Yes,0,1,0,1,0,0,1,1,0,0,0,0,0,4,133ff504-9869-479a-8e08-cf83dd443a10,-9671301.695,4496914.7694
1336,Kentucky South Recycling,13118 N Hwy 1247,Eubank,KY,42567,606-379-0568,37.258136,-84.646432,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,4,683193bd-bf7e-483e-9e67-7602ba872c05,-9422798.7074,4475150.9543
1354,Union County Road Department,212 Airline Rd,Morganfield,KY,42437,270-389-1646,37.688985,-87.912986,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,4,fe6925c1-0f5a-47eb-8021-2804230bfe32,-9786430.0526,4535584.5059
1368,Alexandria Tire Center,8117 Alexandria Pike,Alexandria,KY,41001,859-635-0441,38.959873,-84.392997,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7d039dff-62a7-432d-bc91-7d4bd5a7d944,-9394586.4629,4715927.4973
1369,Bob Sumerel Tire &amp; Service,7005 Alexandria Pike,Alexandria,KY,41001,859-635-9777,38.984534,-84.401392,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0017c67f-ba20-4691-8200-575fae80bd1c,-9395520.9911,4719458.5893
1370,Community Car Care,1047 Perkins Dr,Alexandria,KY,41001,859-635-1788,38.943036,-84.393435,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9d87a799-9d3d-49af-aebf-a6b03f98dd12,-9394635.2206,4713517.3928
1390,Best One Tire,1675 Production Dr,Burlington,KY,41005,859-371-4200,39.022142,-84.687539,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e5f8c7b2-c3ec-41fe-b65d-9164441571dd,-9427374.7489,4724845.8664
1393,Steele&#x27;s Auto Service,2502 Burlington Pike,Burlington,KY,41005,859-534-5900,39.025461,-84.713972,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,dfc53fa4-7ec6-43ef-960c-31e409723d22,-9430317.2589,4725321.4445
1408,Tire Discounters,5020 Alexandria Pike,Cold Springs,KY,41076,859-572-2233,39.005138,-84.425752,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8269cfd8-516b-45fb-988c-69e416168298,-9398232.7358,4722409.7216
1415,Firestone Tire,39 W 6th St,Covington,KY,41011,859-291-2121,39.084413,-84.511677,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2fbb3d77-a27c-4479-9479-882575671443,-9407797.8701,4733772.3869
1416,Fleet Tire,4343 Boron Drive,Covington,KY,41015,859-431-8600,38.95624,-84.628753,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,fbd7fa66-f2c9-430e-ae8a-695d4ccbb4a8,-9420830.7162,4715407.406
1417,Kentucky Tires,302 East 12th St,Covington,KY,41011,859-291-8999,39.078498,-84.503626,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11748870-7903-47be-99ea-39f942a5e2ed,-9406901.6362,4732924.1361
1419,Steve&#x27;s Auto Repair,3488 Senour Rd,Covington,KY,41017,859-356-3000,38.97052,-84.503598,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,b0e1d8db-333a-449f-95ae-7dda63a874e3,-9406898.5175,4717451.8388
1436,Bob Sumerel Tire &amp; Service,33 Montgomery St,Erlanger,KY,41018,859-341-2728,39.021282,-84.591839,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,20a9ad30-fcc1-4556-83d4-3bf7050b1636,-9416721.4673,4724722.6421
1437,Performance Goodyear Tire,805 Donaldson Rd,Erlanger,KY,41018,859-371-7474,39.030457,-84.61906,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7b99a7cc-a5c4-4969-b9ee-9cbcb659c901,-9419751.6972,4726037.3633
1439,Bob Sumerel Tire &amp; Service,8711 US Highway 42,Florence,KY,41042,859-283-1280,38.969809,-84.666247,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,32fdb467-0830-43c0-8a77-0f5de5ce0432,-9425004.532,4717350.0347
1440,Bob&#x27;s Service &amp; Sales,6721 Dixie Hwy,Florence,KY,41042,859-525-1999,39.004392,-84.620268,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,a35927c7-2c3a-4e59-b2b5-2123c707e590,-9419886.1707,4722302.8535
1441,Fleet Tire,385 Mount Zion Rd,Florence,KY,41042,859-371-8300,38.956243,-84.628753,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5db454a2-f50a-4dc0-92f4-a21ae0eb9c4c,-9420830.7162,4715407.8355
1443,Michel Tires Plus,8301 US Highway 42,Florence,KY,41042,859-282-0800,38.980519,-84.652839,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2122c904-86c2-4e10-a630-e17f53373381,-9423511.9596,4718883.6133
1444,Pep Boys,832 Heights Blvd,Florence,KY,41042,859-647-9977,38.987678,-84.649724,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1018585a-ce38-4fe5-8338-86b084464a77,-9423165.1993,4719908.8488
1446,Saf T Auto,7209 Burlington Pike,Florence,KY,41042,859-525-8060,39.002885,-84.631042,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,091d8486-924a-4991-a04c-c0f364ec4ee3,-9421085.5276,4722086.9775
1447,Sears,3000 Mall Rd,Florence,KY,41042,859-525-4528,39.003212,-84.652144,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,be9036bd-24f7-4e97-873f-81475305744d,-9423434.5929,4722133.8192
1448,Smith&#x27;s High Tech Automotive,5980 Merchant Dr,Florence,KY,41042,859-371-8998,39.007591,-84.656698,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,d28d4e54-e68d-47f9-bc64-022e2f3b7c43,-9423941.5422,4722761.1216
1449,Tire Discounters,5991 Fuller St,Florence,KY,41042,859-647-6333,39.0062,-84.656006,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e0800f8a-db15-4be2-a7c1-813291f1ba58,-9423864.5091,4722561.8531
1450,Mastertech Autocare,1513 Alexandria Pike,Fort Thomas,KY,41075,859-781-8863,39.053779,-84.449002,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2e581b4c-65b3-4e56-98c6-d45d54e981f0,-9400820.9163,4729380.0348
1451,Michel Tires Plus,96 Alexandria Pike,Fort Thomas,KY,41075,859-781-6400,39.068764,-84.466824,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2cd9a2a5-5f5e-4c43-9016-0bc7a73563a0,-9402804.8537,4731528.3701
1452,Bob Sumerel Tire &amp; Service,476 Orphanage Rd,Fort Wright,KY,41017,859-341-6222,39.032242,-84.535729,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e89b001a-22dc-4b6a-9faa-c49459030003,-9410475.3272,4726293.164
1537,Rumpke,1101 West Oak St,Louisville,KY,40210,800-828-8171,38.236087,-85.771709,Yes,0,0,0,0,0,0,0,1,1,0,0,0,0,4,fc2a771a-d1fd-4239-9ac5-c7cd6ada1dac,-9548064.0589,4612832.9472
1575,Firestone Tire,61 Carothers Rd,Newport,KY,41071,859-491-1400,39.085714,-84.479818,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9fcc4215-7fa1-4b63-8fff-7f83849e4535,-9404251.3403,4733958.9691
1576,Raaker Tire,1002 Park Ave,Newport,KY,41071,859-292-0224,39.089845,-84.483466,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8070eea2-470d-4a84-ac74-8484e638513d,-9404657.4342,4734551.4353
1635,Al&#x27;s Garage,13121 Walton Verona Rd,Walton,KY,41094,859-493-5300,38.853593,-84.625073,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,923bf211-f5eb-480b-a994-84ad078f78da,-9420421.0586,4700723.8033
1636,Complete Auto Care,14120 Dixie Hwy,Walton,KY,41094,859-356-9026,38.925983,-84.627748,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0bba749c-0eb6-4427-97b2-936d66ff0c0a,-9420718.8396,4711076.9496
1768,Cowboy and Cowgirl Swings,144 Thomasville Rd,Florence,MS,39073,601-923-3202,32.1578374033,-90.0227850185,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e0557481-9540-4348-abbd-c4d44e0b7931,-10021291.2229,3784047.892
1784,Lee &amp; Sons Mobile Tire Processing,19452 Doug Lee Rd,Saucier,MS,39574,228-831-4695,30.5706336706,-89.2188095854,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,79f7ab98-4232-429e-a029-bdb7454f4386,-9931793.0541,3577113.1188
1789,Triplett&#x27;s Waste Tire Processing Facility,20100 Doug Lee Rd,Saucier,MS,39574,228-328-2171,30.5749753898,-89.2199054346,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,395f0cb3-552c-4ce8-b288-1987f98b71f4,-9931915.0436,3577674.4746
1796,Liberty Tire Recycling,2058 MS-145,Saltillo,MS,38866,622-869-1860,34.4016342625,-88.6864844757,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,cbd06112-a426-41ed-b38d-152cec1410d7,-9872534.9,4082860.901
1807,MS Tire Recycling,2845 Meter Rd,Jackson,MS,39204,601-352-7165,32.2656376167,-90.2063848886,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4b743ea3-1326-48e9-b860-ac80a6c7b225,-10041729.4733,3798231.201
1810,Fairley&#x27;s Tire and Rubber Disposal LLC,300 Worth Nall Rd,Lumberton,MS,39455,601-796-5452,30.9395868913,-89.3273897925,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8b79b8b6-36cb-4ef4-9aab-504408c4b07c,-9943880.1526,3624906.5676
1984,Central Carolina Tire Monofill,1616 McKoy Town Rd,Cameron,NC,28326,919-498-7422,35.2639653208,-79.1505456278,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4437692a-cabb-4df7-a173-c3c06c69cb6f,-8810998.7399,4199812.036
1985,Liberty Tire Recycling LLC,1616 McKoy Town Rd,Cameron,NC,28326,919-499-2301,35.2639653208,-79.1505456278,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,d72cd6e9-7be3-4503-a137-8a724ed78b29,-8810998.7399,4199812.036
2024,PRTI Inc,2105 US Hwy 1,Franklinton,NC,27525,919-272-4415,36.0669190956,-78.4822526512,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,d74c2776-7343-4af6-9e43-f15ab2cf3934,-8736604.6883,4309834.2316
2033,Guilford Cty Scrap Tire &amp; White Goods Collection Facility,2138 Bishop Rd,Greensboro,NC,27406,336-641-3792,35.9916464895,-79.8546905158,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,16af0c13-0eef-4d31-8131-f4b3cd2e6dab,-8889383.8183,4299472.9768
2081,Madison County Solid Waste HHW &amp; Landfill,271 Craig Rudisill Rd,​​Marshall,NC,28753,828-649-2311,35.8086792784,-82.7165851918,Yes,1,0,1,0,1,1,1,1,0,0,0,0,1,4,c18118b1-5681-4a74-ba72-3bb2eae5836b,-9207968.5702,4274328.7205
